0,1,2,3,4
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04372912128031231, [2.1375989739861145]]","['Wp1', -0.03468193600657481, [1.901283367066311]]"
"['psi plus, psi minus', 'phi minus, psi plus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W4', 0.04999999999999993, [2.8368087715678336]]","['Wp1', -0.04383363185964442, [1.2348217492467584]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.02806208494708816, [1.3239938581007245]]","['Wp2', -0.11132960472353141, [0.046235415639699774]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W2', 0.04372912128250578, [1.6201168880404448]]","['Wp1', -0.03468193600666407, [2.939168447924985]]"
"['psi plus, psi minus', 'phi plus, i psi plus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W6', 0.04999999999999993, [1.225154623357622]]","['Wp1', -0.043833631858951116, [0.17454881594898533]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.1, 0.9]","['W2', 0.020626920076628804, [2.079046886973602]]","['Wp1', -0.21598455140535255, [1.537614564710188]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 72.01145915590261)]","[0.1, 0.9]","['W1', 0.021996764697382244, [1.5736588916965577]]","['Wp1', -0.089827270286614, [2.2063076048688943]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.2, 0.8]","['W2', 0.01913358223783232, [0.026166525632063824]]","['Wp1', -0.23342078199858957, [1.6582065854180958]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.2, 0.8]","['W2', 0.04125384015523616, [1.2478058030383463]]","['Wp1', -0.14221662215294, [2.2479369840305035]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 72.01145915590261)]","[0.2, 0.8]","['W1', 0.01955267973100552, [0.5134793073614985]]","['Wp1', -0.027332542114731774, [1.2877155094542627]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.3, 0.7]","['W2', 0.028700373356748375, [1.0991388410569152]]","['Wp1', -0.15793014478033618, [1.450418070436941]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.3, 0.7]","['W2', 0.06188076022792003, [0.5752412456990769]]","['Wp1', -0.07369871212179326, [2.173839879955159]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 72.01145915590261)]","[0.3, 0.7]","['W1', 0.017108594764629823, [0.44268083238686834]]","['Wp1', -0.012175058737824068, [2.8699394616263314]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 54.022918311805235)]","[0.4, 0.6]","['W2', 0.018745113471326513, [0.16938790283471178]]","['Wp1', -0.036956399248272875, [2.7957785405448132]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 72.01145915590261)]","[0.4, 0.6]","['W1', 0.03342495151177369, [1.5666498792176164]]","['Wp1', -0.013370447127240281, [1.1872884590222808]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(29.999999999999996, 90.0)]","[0.4, 0.6]","['W1', 0.021611781858529914, [2.3592715568163194]]","['Wp1', -0.027871926215089743, [2.549079336718848]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 36.03437746770785)]","[0.4, 0.6]","['W2', 0.038267164475666006, [1.897034616323129]]","['Wp1', -0.09156801570458732, [1.135646268690814]]"
"['psi plus, psi minus', 'phi plus, i phi minus']","[(45.0, 54.022918311805235)]","[0.4, 0.6]","['W1', 0.05722438687606643, [1.9751797464738423]]","['Wp1', -0.011812291568760014, [1.6077829660437313]]"
